"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"2541",551,1,6,4,2,7,1,1,5,1,3,1,1,1,1,2
"337",552,2,3,4,6,NA,1,4,2,1,2,0,0,0,1,2
"1541",552,2,3,4,6,NA,1,4,2,1,2,1,1,0,1,2
"2942",552,2,3,4,6,NA,1,4,2,1,2,1,0,1,1,3
"3143",552,2,3,4,6,NA,1,4,2,1,2,1,0,1,0,3
"739",553,1,5,2,2,6,3,3,3,1,5,0,0,0,0,4
"1341",553,1,5,2,2,6,3,3,3,1,5,1,0,0,1,3
"1740",553,1,5,2,2,6,3,3,3,1,5,0,1,0,1,3
"2542",553,1,5,2,2,6,3,3,3,1,5,1,1,1,1,2
"138",554,1,5,5,2,2,2,4,2,1,2,0,1,0,1,3
"539",554,1,5,5,2,2,2,4,2,1,2,0,1,0,0,4
"2143",554,1,5,5,2,2,2,4,2,1,2,0,0,1,1,4
"2743",554,1,5,5,2,2,2,4,2,1,2,1,1,1,0,4
"940",555,1,4,3,2,1,NA,1,1,4,5,1,0,0,0,5
"1139",555,1,4,3,2,1,NA,1,1,4,5,1,1,0,0,5
"1942",555,1,4,3,2,1,NA,1,1,4,5,0,1,1,0,5
"2343",555,1,4,3,2,1,NA,1,1,4,5,0,1,1,1,3
"338",556,1,6,5,6,NA,2,3,3,1,2,0,0,0,1,3
"1140",556,1,6,5,6,NA,2,3,3,1,2,1,1,0,0,3
"1542",556,1,6,5,6,NA,2,3,3,1,2,1,1,0,1,3
"2744",556,1,6,5,6,NA,2,3,3,1,2,1,1,1,0,3
"139",557,2,4,2,6,NA,4,4,4,3,4,0,1,0,1,2
"540",557,2,4,2,6,NA,4,4,4,3,4,0,1,0,0,3
"941",557,2,4,2,6,NA,4,4,4,3,4,1,0,0,0,3
"3144",557,2,4,2,6,NA,4,4,4,3,4,1,0,1,0,3
"1741",558,1,4,5,5,2,3,4,3,3,3,0,1,0,1,3
"1943",558,1,4,5,5,2,3,4,3,3,3,0,1,1,0,3
"2144",558,1,4,5,5,2,3,4,3,3,3,0,0,1,1,3
"2543",558,1,4,5,5,2,3,4,3,3,3,1,1,1,1,3
"740",559,1,4,5,2,1,2,3,3,3,2,0,0,0,0,4
"1342",559,1,4,5,2,1,2,3,3,3,2,1,0,0,1,3
"2344",559,1,4,5,2,1,2,3,3,3,2,0,1,1,1,2
"2943",559,1,4,5,2,1,2,3,3,3,2,1,0,1,1,3
"140",560,1,4,5,1,1,3,3,3,3,3,0,1,0,1,3
"1141",560,1,4,5,1,1,3,3,3,3,3,1,1,0,0,3
"1343",560,1,4,5,1,1,3,3,3,3,3,1,0,0,1,3
"2345",560,1,4,5,1,1,3,3,3,3,3,0,1,1,1,3
"541",561,2,5,2,2,3,2,2,4,3,2,0,1,0,0,2
"2145",561,2,5,2,2,3,2,2,4,3,2,0,0,1,1,3
"2745",561,2,5,2,2,3,2,2,4,3,2,1,1,1,0,3
"3145",561,2,5,2,2,3,2,2,4,3,2,1,0,1,0,3
"542",562,2,6,3,6,NA,2,2,4,2,3,0,1,0,0,3
"942",562,2,6,3,6,NA,2,2,4,2,3,1,0,0,0,3
"2146",562,2,6,3,6,NA,2,2,4,2,3,0,0,1,1,2
"2746",562,2,6,3,6,NA,2,2,4,2,3,1,1,1,0,3
"741",563,2,5,2,6,NA,2,3,4,3,3,0,0,0,0,3
"1543",563,2,5,2,6,NA,2,3,4,3,3,1,1,0,1,2
