"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"2977",693,1,3,5,5,2,3,2,5,1,3,1,0,1,1,2
"774",694,1,7,2,6,NA,2,3,3,3,3,0,0,0,0,4
"975",694,1,7,2,6,NA,2,3,3,3,3,1,0,0,0,4
"1174",694,1,7,2,6,NA,2,3,3,3,3,1,1,0,0,4
"1775",694,1,7,2,6,NA,2,3,3,3,3,0,1,0,1,4
"172",695,1,4,5,2,4,1,1,1,4,2,0,1,0,1,2
"373",695,1,4,5,2,4,1,1,1,4,2,0,0,0,1,3
"2378",695,1,4,5,2,4,1,1,1,4,2,0,1,1,1,2
"2779",695,1,4,5,2,4,1,1,1,4,2,1,1,1,0,4
"775",696,2,6,4,3,2,2,4,4,2,3,0,0,0,0,4
"1978",696,2,6,4,3,2,2,4,4,2,3,0,1,1,0,3
"2179",696,2,6,4,3,2,2,4,4,2,3,0,0,1,1,3
"2577",696,2,6,4,3,2,2,4,4,2,3,1,1,1,1,2
"574",697,2,6,5,3,4,3,4,4,2,3,0,1,0,0,4
"1377",697,2,6,5,3,4,3,4,4,2,3,1,0,0,1,3
"1776",697,2,6,5,3,4,3,4,4,2,3,0,1,0,1,4
"2978",697,2,6,5,3,4,3,4,4,2,3,1,0,1,1,3
"976",698,1,7,5,6,NA,2,2,4,3,3,1,0,0,0,5
"1175",698,1,7,5,6,NA,2,2,4,3,3,1,1,0,0,4
"1576",698,1,7,5,6,NA,2,2,4,3,3,1,1,0,1,3
"3179",698,1,7,5,6,NA,2,2,4,3,3,1,0,1,0,4
"575",699,2,4,3,5,6,2,3,4,2,4,0,1,0,0,3
"1577",699,2,4,3,5,6,2,3,4,2,4,1,1,0,1,2
"2578",699,2,4,3,5,6,2,3,4,2,4,1,1,1,1,2
"2780",699,2,4,3,5,6,2,3,4,2,4,1,1,1,0,2
"374",700,2,5,5,2,3,2,2,4,2,4,0,0,0,1,2
"776",700,2,5,5,2,3,2,2,4,2,4,0,0,0,0,2
"1176",700,2,5,5,2,3,2,2,4,2,4,1,1,0,0,1
"2379",700,2,5,5,2,3,2,2,4,2,4,0,1,1,1,2
"977",701,2,3,3,2,2,4,2,5,2,3,1,0,0,0,4
"1979",701,2,3,3,2,2,4,2,5,2,3,0,1,1,0,3
"2180",701,2,3,3,2,2,4,2,5,2,3,0,0,1,1,3
"2979",701,2,3,3,2,2,4,2,5,2,3,1,0,1,1,3
"173",702,2,4,5,3,5,3,2,5,2,3,0,1,0,1,1
"1378",702,2,4,5,3,5,3,2,5,2,3,1,0,0,1,2
"1777",702,2,4,5,3,5,3,2,5,2,3,0,1,0,1,4
"3180",702,2,4,5,3,5,3,2,5,2,3,1,0,1,0,2
"978",703,1,6,5,5,5,2,3,3,3,2,1,0,0,0,4
"1379",703,1,6,5,5,5,2,3,3,3,2,1,0,0,1,4
"2980",703,1,6,5,5,5,2,3,3,3,2,1,0,1,1,4
"3181",703,1,6,5,5,5,2,3,3,3,2,1,0,1,0,4
"174",704,1,5,2,4,6,4,1,3,3,5,0,1,0,1,2
"375",704,1,5,2,4,6,4,1,3,3,5,0,0,0,1,3
"2181",704,1,5,2,4,6,4,1,3,3,5,0,0,1,1,2
"2781",704,1,5,2,4,6,4,1,3,3,5,1,1,1,0,3
"576",705,1,5,5,2,2,2,3,3,2,3,0,1,0,0,3
"1177",705,1,5,5,2,2,2,3,3,2,3,1,1,0,0,3
"1578",705,1,5,5,2,2,2,3,3,2,3,1,1,0,1,2
"2380",705,1,5,5,2,2,2,3,3,2,3,0,1,1,1,3
"777",706,2,5,4,3,7,3,2,4,1,4,0,0,0,0,2
"1778",706,2,5,4,3,7,3,2,4,1,4,0,1,0,1,3
"1980",706,2,5,4,3,7,3,2,4,1,4,0,1,1,0,2
"2579",706,2,5,4,3,7,3,2,4,1,4,1,1,1,1,1
"577",707,1,6,2,5,5,4,4,3,4,4,0,1,0,0,2
"778",707,1,6,2,5,5,4,4,3,4,4,0,0,0,0,3
"1779",707,1,6,2,5,5,4,4,3,4,4,0,1,0,1,3
"2182",707,1,6,2,5,5,4,4,3,4,4,0,0,1,1,2
"979",708,2,2,NA,2,3,5,1,5,2,4,1,0,0,0,4
"2381",708,2,2,NA,2,3,5,1,5,2,4,0,1,1,1,3
"2580",708,2,2,NA,2,3,5,1,5,2,4,1,1,1,1,5
"3182",708,2,2,NA,2,3,5,1,5,2,4,1,0,1,0,5
"175",709,1,5,3,2,6,4,1,5,2,3,0,1,0,1,2
"376",709,1,5,3,2,6,4,1,5,2,3,0,0,0,1,3
"1981",709,1,5,3,2,6,4,1,5,2,3,0,1,1,0,4
"2981",709,1,5,3,2,6,4,1,5,2,3,1,0,1,1,3
"1178",710,1,4,2,3,6,5,1,1,1,5,1,1,0,0,1
"1380",710,1,4,2,3,6,5,1,1,1,5,1,0,0,1,1
"1579",710,1,4,2,3,6,5,1,1,1,5,1,1,0,1,1
"2782",710,1,4,2,3,6,5,1,1,1,5,1,1,1,0,2
"980",711,2,5,2,3,5,3,3,5,3,3,1,0,0,0,2
"2382",711,2,5,2,3,5,3,3,5,3,3,0,1,1,1,1
"2783",711,2,5,2,3,5,3,3,5,3,3,1,1,1,0,2
"3183",711,2,5,2,3,5,3,3,5,3,3,1,0,1,0,2
"176",712,1,7,2,6,NA,4,3,4,2,4,0,1,0,1,2
"578",712,1,7,2,6,NA,4,3,4,2,4,0,1,0,0,3
"1179",712,1,7,2,6,NA,4,3,4,2,4,1,1,0,0,3
"2183",712,1,7,2,6,NA,4,3,4,2,4,0,0,1,1,3
"377",713,2,7,5,2,3,3,3,3,3,2,0,0,0,1,3
"1580",713,2,7,5,2,3,3,3,3,3,2,1,1,0,1,3
"1780",713,2,7,5,2,3,3,3,3,3,2,0,1,0,1,3
"2581",713,2,7,5,2,3,3,3,3,3,2,1,1,1,1,3
"779",714,2,5,3,2,3,3,3,3,4,3,0,0,0,0,4
"1381",714,2,5,3,2,3,3,3,3,4,3,1,0,0,1,3
"1982",714,2,5,3,2,3,3,3,3,4,3,0,1,1,0,3
"2982",714,2,5,3,2,3,3,3,3,4,3,1,0,1,1,3
"1581",715,1,6,5,6,NA,3,3,4,3,4,1,1,0,1,3
"2184",715,1,6,5,6,NA,3,3,4,3,4,0,0,1,1,3
"2383",715,1,6,5,6,NA,3,3,4,3,4,0,1,1,1,2
"2582",715,1,6,5,6,NA,3,3,4,3,4,1,1,1,1,2
"177",716,1,3,6,2,2,3,2,3,2,4,0,1,0,1,3
"579",716,1,3,6,2,2,3,2,3,2,4,0,1,0,0,4
"1781",716,1,3,6,2,2,3,2,3,2,4,0,1,0,1,4
"2983",716,1,3,6,2,2,3,2,3,2,4,1,0,1,1,3
"378",717,1,6,2,3,6,1,1,5,3,4,0,0,0,1,2
"981",717,1,6,2,3,6,1,1,5,3,4,1,0,0,0,4
"1180",717,1,6,2,3,6,1,1,5,3,4,1,1,0,0,3
"2784",717,1,6,2,3,6,1,1,5,3,4,1,1,1,0,3
"780",718,2,6,NA,6,NA,1,3,2,3,3,0,0,0,0,4
"1382",718,2,6,NA,6,NA,1,3,2,3,3,1,0,0,1,3
"1983",718,2,6,NA,6,NA,1,3,2,3,3,0,1,1,0,4
"3184",718,2,6,NA,6,NA,1,3,2,3,3,1,0,1,0,4
"982",719,1,7,5,1,1,2,2,4,4,2,1,0,0,0,4
"1181",719,1,7,5,1,1,2,2,4,4,2,1,1,0,0,3
"1383",719,1,7,5,1,1,2,2,4,4,2,1,0,0,1,4
"2384",719,1,7,5,1,1,2,2,4,4,2,0,1,1,1,2
"781",720,1,3,5,2,6,3,2,4,1,3,0,0,0,0,5
"1582",720,1,3,5,2,6,3,2,4,1,3,1,1,0,1,4
"2185",720,1,3,5,2,6,3,2,4,1,3,0,0,1,1,3
"2583",720,1,3,5,2,6,3,2,4,1,3,1,1,1,1,3
"178",721,1,2,2,3,5,3,2,4,2,5,0,1,0,1,2
"1984",721,1,2,2,3,5,3,2,4,2,5,0,1,1,0,2
"2984",721,1,2,2,3,5,3,2,4,2,5,1,0,1,1,2
"3185",721,1,2,2,3,5,3,2,4,2,5,1,0,1,0,3
"379",722,2,4,5,3,2,2,3,4,2,3,0,0,0,1,3
"580",722,2,4,5,3,2,2,3,4,2,3,0,1,0,0,4
"1782",722,2,4,5,3,2,2,3,4,2,3,0,1,0,1,4
"2785",722,2,4,5,3,2,2,3,4,2,3,1,1,1,0,4
"179",723,2,6,2,3,4,2,2,2,2,3,0,1,0,1,3
"581",723,2,6,2,3,4,2,2,2,2,3,0,1,0,0,3
"2186",723,2,6,2,3,4,2,2,2,2,3,0,0,1,1,3
"3186",723,2,6,2,3,4,2,2,2,2,3,1,0,1,0,3
"782",724,2,4,5,4,5,1,4,2,2,3,0,0,0,0,3
"1783",724,2,4,5,4,5,1,4,2,2,3,0,1,0,1,3
"2584",724,2,4,5,4,5,1,4,2,2,3,1,1,1,1,2
"2786",724,2,4,5,4,5,1,4,2,2,3,1,1,1,0,2
"380",725,2,2,2,6,NA,5,2,5,2,3,0,0,0,1,3
"1384",725,2,2,2,6,NA,5,2,5,2,3,1,0,0,1,2
"1583",725,2,2,2,6,NA,5,2,5,2,3,1,1,0,1,2
"2385",725,2,2,2,6,NA,5,2,5,2,3,0,1,1,1,2
"983",726,1,7,5,6,NA,1,4,4,3,2,1,0,0,0,3
"1182",726,1,7,5,6,NA,1,4,4,3,2,1,1,0,0,3
"1985",726,1,7,5,6,NA,1,4,4,3,2,0,1,1,0,3
"2985",726,1,7,5,6,NA,1,4,4,3,2,1,0,1,1,2
"180",727,2,4,2,1,6,2,3,3,3,3,0,1,0,1,2
"984",727,2,4,2,1,6,2,3,3,3,3,1,0,0,0,3
"2386",727,2,4,2,1,6,2,3,3,3,3,0,1,1,1,2
"2585",727,2,4,2,1,6,2,3,3,3,3,1,1,1,1,2
"381",728,1,4,5,3,5,3,2,3,2,3,0,0,0,1,2
"582",728,1,4,5,3,5,3,2,3,2,3,0,1,0,0,3
"1385",728,1,4,5,3,5,3,2,3,2,3,1,0,0,1,2
"1986",728,1,4,5,3,5,3,2,3,2,3,0,1,1,0,2
"783",729,1,7,5,6,NA,2,3,2,4,3,0,0,0,0,5
"2187",729,1,7,5,6,NA,2,3,2,4,3,0,0,1,1,3
"2986",729,1,7,5,6,NA,2,3,2,4,3,1,0,1,1,3
"3187",729,1,7,5,6,NA,2,3,2,4,3,1,0,1,0,3
"1386",730,1,7,5,6,NA,3,2,4,2,5,1,0,0,1,3
"1784",730,1,7,5,6,NA,3,2,4,2,5,0,1,0,1,4
"2188",730,1,7,5,6,NA,3,2,4,2,5,0,0,1,1,3
"2586",730,1,7,5,6,NA,3,2,4,2,5,1,1,1,1,3
"1183",731,2,5,5,2,1,2,5,3,1,2,1,1,0,0,3
"1584",731,2,5,5,2,1,2,5,3,1,2,1,1,0,1,3
"1785",731,2,5,5,2,1,2,5,3,1,2,0,1,0,1,3
"2787",731,2,5,5,2,1,2,5,3,1,2,1,1,1,0,3
"583",732,2,3,6,4,2,2,4,3,1,3,0,1,0,0,3
"1184",732,2,3,6,4,2,2,4,3,1,3,1,1,0,0,3
"1987",732,2,3,6,4,2,2,4,3,1,3,0,1,1,0,3
"2987",732,2,3,6,4,2,2,4,3,1,3,1,0,1,1,3
"181",733,2,5,4,6,NA,2,3,2,2,2,0,1,0,1,2
"382",733,2,5,4,6,NA,2,3,2,2,2,0,0,0,1,3
"2387",733,2,5,4,6,NA,2,3,2,2,2,0,1,1,1,2
"2788",733,2,5,4,6,NA,2,3,2,2,2,1,1,1,0,3
"182",734,1,5,5,2,2,2,4,4,2,3,0,1,0,1,3
"584",734,1,5,5,2,2,2,4,4,2,3,0,1,0,0,4
"1988",734,1,5,5,2,2,2,4,4,2,3,0,1,1,0,3
"2587",734,1,5,5,2,2,2,4,4,2,3,1,1,1,1,2
"784",735,1,6,2,4,3,3,3,3,3,3,0,0,0,0,3
"1786",735,1,6,2,4,3,3,3,3,3,3,0,1,0,1,3
"2388",735,1,6,2,4,3,3,3,3,3,3,0,1,1,1,3
"3188",735,1,6,2,4,3,3,3,3,3,3,1,0,1,0,3
"383",736,1,6,3,5,6,2,4,3,1,4,0,0,0,1,4
"985",736,1,6,3,5,6,2,4,3,1,4,1,0,0,0,4
"1185",736,1,6,3,5,6,2,4,3,1,4,1,1,0,0,4
"2988",736,1,6,3,5,6,2,4,3,1,4,1,0,1,1,4
"1387",737,1,4,5,2,4,5,1,5,1,5,1,0,0,1,3
"1585",737,1,4,5,2,4,5,1,5,1,5,1,1,0,1,3
"2189",737,1,4,5,2,4,5,1,5,1,5,0,0,1,1,4
"2789",737,1,4,5,2,4,5,1,5,1,5,1,1,1,0,4
"183",738,1,6,5,6,NA,4,2,5,2,3,0,1,0,1,3
"1388",738,1,6,5,6,NA,4,2,5,2,3,1,0,0,1,3
"1989",738,1,6,5,6,NA,4,2,5,2,3,0,1,1,0,2
"2989",738,1,6,5,6,NA,4,2,5,2,3,1,0,1,1,2
"1186",739,1,6,5,4,1,2,3,3,2,3,1,1,0,0,4
"1586",739,1,6,5,4,1,2,3,3,2,3,1,1,0,1,3
"1787",739,1,6,5,4,1,2,3,3,2,3,0,1,0,1,4
"2190",739,1,6,5,4,1,2,3,3,2,3,0,0,1,1,3
"986",740,1,6,5,6,NA,4,1,5,1,4,1,0,0,0,3
"2588",740,1,6,5,6,NA,4,1,5,1,4,1,1,1,1,2
"2790",740,1,6,5,6,NA,4,1,5,1,4,1,1,1,0,3
"3189",740,1,6,5,6,NA,4,1,5,1,4,1,0,1,0,4
"384",741,2,3,3,6,NA,2,2,4,1,3,0,0,0,1,2
"585",741,2,3,3,6,NA,2,2,4,1,3,0,1,0,0,2
"785",741,2,3,3,6,NA,2,2,4,1,3,0,0,0,0,2
"2389",741,2,3,3,6,NA,2,2,4,1,3,0,1,1,1,2
"1187",742,1,6,5,1,4,5,1,5,1,4,1,1,0,0,4
"1990",742,1,6,5,1,4,5,1,5,1,4,0,1,1,0,3
"2191",742,1,6,5,1,4,5,1,5,1,4,0,0,1,1,3
"2589",742,1,6,5,1,4,5,1,5,1,4,1,1,1,1,3
"184",743,1,7,5,6,NA,1,3,3,2,3,0,1,0,1,2
"786",743,1,7,5,6,NA,1,3,3,2,3,0,0,0,0,3
"1788",743,1,7,5,6,NA,1,3,3,2,3,0,1,0,1,4
"3190",743,1,7,5,6,NA,1,3,3,2,3,1,0,1,0,3
"385",744,1,5,5,2,4,2,4,3,4,3,0,0,0,1,4
"586",744,1,5,5,2,4,2,4,3,4,3,0,1,0,0,5
"1389",744,1,5,5,2,4,2,4,3,4,3,1,0,0,1,4
"2990",744,1,5,5,2,4,2,4,3,4,3,1,0,1,1,4
"987",745,2,7,2,6,NA,2,3,3,3,3,1,0,0,0,3
"1587",745,2,7,2,6,NA,2,3,3,3,3,1,1,0,1,2
"2390",745,2,7,2,6,NA,2,3,3,3,3,0,1,1,1,2
"2791",745,2,7,2,6,NA,2,3,3,3,3,1,1,1,0,2
"587",746,1,5,NA,2,6,2,3,4,2,4,0,1,0,0,3
"988",746,1,5,NA,2,6,2,3,4,2,4,1,0,0,0,4
"2391",746,1,5,NA,2,6,2,3,4,2,4,0,1,1,1,2
"2991",746,1,5,NA,2,6,2,3,4,2,4,1,0,1,1,3
"185",747,1,7,5,6,NA,1,3,4,3,2,0,1,0,1,2
"787",747,1,7,5,6,NA,1,3,4,3,2,0,0,0,0,4
"1390",747,1,7,5,6,NA,1,3,4,3,2,1,0,0,1,3
"1789",747,1,7,5,6,NA,1,3,4,3,2,0,1,0,1,3
"1588",748,1,6,2,3,5,3,3,3,3,4,1,1,0,1,4
"2192",748,1,6,2,3,5,3,3,3,3,4,0,0,1,1,3
"2792",748,1,6,2,3,5,3,3,3,3,4,1,1,1,0,4
"3191",748,1,6,2,3,5,3,3,3,3,4,1,0,1,0,4
"386",749,1,6,1,3,7,5,1,5,1,3,0,0,0,1,3
"1188",749,1,6,1,3,7,5,1,5,1,3,1,1,0,0,3
"1991",749,1,6,1,3,7,5,1,5,1,3,0,1,1,0,2
"2590",749,1,6,1,3,7,5,1,5,1,3,1,1,1,1,2
"186",750,2,3,3,3,NA,4,3,4,3,4,0,1,0,1,3
"1189",750,2,3,3,3,NA,4,3,4,3,4,1,1,0,0,3
"2392",750,2,3,3,3,NA,4,3,4,3,4,0,1,1,1,2
"2992",750,2,3,3,3,NA,4,3,4,3,4,1,0,1,1,3
"387",751,1,3,2,2,6,2,3,3,1,4,0,0,0,1,4
"989",751,1,3,2,2,6,2,3,3,1,4,1,0,0,0,5
"2793",751,1,3,2,2,6,2,3,3,1,4,1,1,1,0,4
"3192",751,1,3,2,2,6,2,3,3,1,4,1,0,1,0,4
"788",752,1,6,5,2,1,2,3,3,2,2,0,0,0,0,5
"1391",752,1,6,5,2,1,2,3,3,2,2,1,0,0,1,5
"1992",752,1,6,5,2,1,2,3,3,2,2,0,1,1,0,3
"2193",752,1,6,5,2,1,2,3,3,2,2,0,0,1,1,4
"588",753,2,1,2,6,NA,4,1,5,1,3,0,1,0,0,4
"1589",753,2,1,2,6,NA,4,1,5,1,3,1,1,0,1,2
"1790",753,2,1,2,6,NA,4,1,5,1,3,0,1,0,1,4
"2591",753,2,1,2,6,NA,4,1,5,1,3,1,1,1,1,2
"187",754,1,7,5,6,NA,1,3,5,1,3,0,1,0,1,2
"990",754,1,7,5,6,NA,1,3,5,1,3,1,0,0,0,4
"1392",754,1,7,5,6,NA,1,3,5,1,3,1,0,0,1,4
"2194",754,1,7,5,6,NA,1,3,5,1,3,0,0,1,1,3
"589",755,1,5,5,2,2,3,3,3,2,3,0,1,0,0,3
"1791",755,1,5,5,2,2,3,3,3,2,3,0,1,0,1,4
"2592",755,1,5,5,2,2,3,3,3,2,3,1,1,1,1,2
"2794",755,1,5,5,2,2,3,3,3,2,3,1,1,1,0,3
"388",756,1,6,2,5,6,2,3,3,1,4,0,0,0,1,3
"789",756,1,6,2,5,6,2,3,3,1,4,0,0,0,0,3
"1190",756,1,6,2,5,6,2,3,3,1,4,1,1,0,0,3
"1590",756,1,6,2,5,6,2,3,3,1,4,1,1,0,1,3
"1993",757,1,7,6,6,NA,5,5,5,5,5,0,1,1,0,5
"2393",757,1,7,6,6,NA,5,5,5,5,5,0,1,1,1,5
"2993",757,1,7,6,6,NA,5,5,5,5,5,1,0,1,1,5
"3193",757,1,7,6,6,NA,5,5,5,5,5,1,0,1,0,5
"188",758,1,7,5,6,NA,3,2,5,1,4,0,1,0,1,2
"590",758,1,7,5,6,NA,3,2,5,1,4,0,1,0,0,4
"790",758,1,7,5,6,NA,3,2,5,1,4,0,0,0,0,4
"2394",758,1,7,5,6,NA,3,2,5,1,4,0,1,1,1,2
"389",759,2,4,5,2,1,2,4,2,3,3,0,0,0,1,4
"991",759,2,4,5,2,1,2,4,2,3,3,1,0,0,0,4
"1191",759,2,4,5,2,1,2,4,2,3,3,1,1,0,0,3
"3194",759,2,4,5,2,1,2,4,2,3,3,1,0,1,0,4
"1792",760,2,4,2,2,5,3,3,5,1,4,0,1,0,1,2
"1994",760,2,4,2,2,5,3,3,5,1,4,0,1,1,0,2
"2195",760,2,4,2,2,5,3,3,5,1,4,0,0,1,1,2
"2795",760,2,4,2,2,5,3,3,5,1,4,1,1,1,0,2
"1393",761,2,5,5,6,NA,3,3,3,3,3,1,0,0,1,2
"1591",761,2,5,5,6,NA,3,3,3,3,3,1,1,0,1,2
"2593",761,2,5,5,6,NA,3,3,3,3,3,1,1,1,1,2
"2994",761,2,5,5,6,NA,3,3,3,3,3,1,0,1,1,2
"390",762,1,6,5,6,NA,1,3,2,5,3,0,0,0,1,2
"992",762,1,6,5,6,NA,1,3,2,5,3,1,0,0,0,2
"1793",762,1,6,5,6,NA,1,3,2,5,3,0,1,0,1,2
"3195",762,1,6,5,6,NA,1,3,2,5,3,1,0,1,0,3
"591",763,1,5,2,6,NA,3,3,3,3,5,0,1,0,0,5
"1394",763,1,5,2,6,NA,3,3,3,3,5,1,0,0,1,5
"1592",763,1,5,2,6,NA,3,3,3,3,5,1,1,0,1,5
"2796",763,1,5,2,6,NA,3,3,3,3,5,1,1,1,0,5
"189",764,1,5,3,2,3,1,1,2,1,3,0,1,0,1,3
"791",764,1,5,3,2,3,1,1,2,1,3,0,0,0,0,4
"1995",764,1,5,3,2,3,1,1,2,1,3,0,1,1,0,3
"2995",764,1,5,3,2,3,1,1,2,1,3,1,0,1,1,3
"1192",765,2,4,5,2,3,4,3,5,3,3,1,1,0,0,3
"2196",765,2,4,5,2,3,4,3,5,3,3,0,0,1,1,3
"2395",765,2,4,5,2,3,4,3,5,3,3,0,1,1,1,2
"2594",765,2,4,5,2,3,4,3,5,3,3,1,1,1,1,2
"792",766,2,5,4,3,2,1,4,3,3,3,0,0,0,0,3
"993",766,2,5,4,3,2,1,4,3,3,3,1,0,0,0,4
"1794",766,2,5,4,3,2,1,4,3,3,3,0,1,0,1,3
"3196",766,2,5,4,3,2,1,4,3,3,3,1,0,1,0,3
"190",767,2,5,3,2,5,2,1,5,1,3,0,1,0,1,2
"1395",767,2,5,3,2,5,2,1,5,1,3,1,0,0,1,4
"2595",767,2,5,3,2,5,2,1,5,1,3,1,1,1,1,2
"2996",767,2,5,3,2,5,2,1,5,1,3,1,0,1,1,4
"592",768,1,3,3,2,5,4,2,5,1,5,0,1,0,0,3
"1593",768,1,3,3,2,5,4,2,5,1,5,1,1,0,1,3
"2197",768,1,3,3,2,5,4,2,5,1,5,0,0,1,1,2
"2797",768,1,3,3,2,5,4,2,5,1,5,1,1,1,0,3
"391",769,2,6,3,6,NA,2,4,5,2,3,0,0,0,1,3
"1193",769,2,6,3,6,NA,2,4,5,2,3,1,1,0,0,4
"1996",769,2,6,3,6,NA,2,4,5,2,3,0,1,1,0,4
"2396",769,2,6,3,6,NA,2,4,5,2,3,0,1,1,1,3
"191",770,1,7,2,6,NA,3,3,3,2,3,0,1,0,1,2
"793",770,1,7,2,6,NA,3,3,3,2,3,0,0,0,0,3
"1396",770,1,7,2,6,NA,3,3,3,2,3,1,0,0,1,3
"2798",770,1,7,2,6,NA,3,3,3,2,3,1,1,1,0,2
"593",771,1,7,2,6,NA,3,3,3,3,4,0,1,0,0,5
"1194",771,1,7,2,6,NA,3,3,3,3,4,1,1,0,0,5
"2997",771,1,7,2,6,NA,3,3,3,3,4,1,0,1,1,5
"3197",771,1,7,2,6,NA,3,3,3,3,4,1,0,1,0,5
"1795",772,1,6,5,3,5,3,2,4,2,5,0,1,0,1,3
"2397",772,1,6,5,3,5,3,2,4,2,5,0,1,1,1,3
"2596",772,1,6,5,3,5,3,2,4,2,5,1,1,1,1,3
"192",773,1,7,5,6,NA,3,3,3,3,4,0,1,0,1,2
"994",773,1,7,5,6,NA,3,3,3,3,4,1,0,0,0,3
"1997",773,1,7,5,6,NA,3,3,3,3,4,0,1,1,0,4
"2998",773,1,7,5,6,NA,3,3,3,3,4,1,0,1,1,3
"1796",774,2,5,4,3,6,2,2,4,2,2,0,1,0,1,4
"2398",774,2,5,4,3,6,2,2,4,2,2,0,1,1,1,2
"2799",774,2,5,4,3,6,2,2,4,2,2,1,1,1,0,3
"3198",774,2,5,4,3,6,2,2,4,2,2,1,0,1,0,4
"794",775,1,4,2,2,5,3,3,3,1,4,0,0,0,0,3
"1195",775,1,4,2,2,5,3,3,3,1,4,1,1,0,0,1
"2198",775,1,4,2,2,5,3,3,3,1,4,0,0,1,1,2
"2597",775,1,4,2,2,5,3,3,3,1,4,1,1,1,1,1
"392",776,2,6,5,2,3,2,2,1,3,3,0,0,0,1,3
"594",776,2,6,5,2,3,2,2,1,3,3,0,1,0,0,3
"1397",776,2,6,5,2,3,2,2,1,3,3,1,0,0,1,3
"1594",776,2,6,5,2,3,2,2,1,3,3,1,1,0,1,2
"595",777,2,5,2,1,5,2,3,3,3,3,0,1,0,0,3
"2399",777,2,5,2,1,5,2,3,3,3,3,0,1,1,1,2
"2800",777,2,5,2,1,5,2,3,3,3,3,1,1,1,0,3
"3199",777,2,5,2,1,5,2,3,3,3,3,1,0,1,0,3
"193",778,1,4,3,2,7,3,1,1,1,4,0,1,0,1,3
"1797",778,1,4,3,2,7,3,1,1,1,4,0,1,0,1,4
"1998",778,1,4,3,2,7,3,1,1,1,4,0,1,1,0,4
"2598",778,1,4,3,2,7,3,1,1,1,4,1,1,1,1,3
"393",779,1,4,2,1,6,5,1,3,1,4,0,0,0,1,2
"795",779,1,4,2,1,6,5,1,3,1,4,0,0,0,0,5
"1595",779,1,4,2,1,6,5,1,3,1,4,1,1,0,1,3
"2999",779,1,4,2,1,6,5,1,3,1,4,1,0,1,1,3
"995",780,1,6,6,3,2,2,3,2,4,2,1,0,0,0,3
"1196",780,1,6,6,3,2,2,3,2,4,2,1,1,0,0,3
"1398",780,1,6,6,3,2,2,3,2,4,2,1,0,0,1,3
"2199",780,1,6,6,3,2,2,3,2,4,2,0,0,1,1,3
"596",781,1,5,2,2,7,1,2,2,1,3,0,1,0,0,4
"1399",781,1,5,2,2,7,1,2,2,1,3,1,0,0,1,3
"1999",781,1,5,2,2,7,1,2,2,1,3,0,1,1,0,3
"2801",781,1,5,2,2,7,1,2,2,1,3,1,1,1,0,2
"996",782,1,7,2,5,6,2,2,4,3,3,1,0,0,0,3
"1596",782,1,7,2,5,6,2,2,4,3,3,1,1,0,1,2
"2599",782,1,7,2,5,6,2,2,4,3,3,1,1,1,1,2
"3200",782,1,7,2,5,6,2,2,4,3,3,1,0,1,0,4
"194",783,1,5,5,NA,1,2,2,4,1,2,0,1,0,1,3
"394",783,1,5,5,NA,1,2,2,4,1,2,0,0,0,1,4
"796",783,1,5,5,NA,1,2,2,4,1,2,0,0,0,0,5
"1197",783,1,5,5,NA,1,2,2,4,1,2,1,1,0,0,4
"1798",784,2,5,5,4,2,2,2,2,1,3,0,1,0,1,4
"2200",784,2,5,5,4,2,2,2,2,1,3,0,0,1,1,2
"2400",784,2,5,5,4,2,2,2,2,1,3,0,1,1,1,2
"3000",784,2,5,5,4,2,2,2,2,1,3,1,0,1,1,2
"395",785,3,7,6,6,NA,5,5,5,5,5,0,0,0,1,2
"597",785,3,7,6,6,NA,5,5,5,5,5,0,1,0,0,2
"2401",785,3,7,6,6,NA,5,5,5,5,5,0,1,1,1,2
"2802",785,3,7,6,6,NA,5,5,5,5,5,1,1,1,0,2
"195",786,2,4,4,4,6,5,1,5,1,4,0,1,0,1,3
"797",786,2,4,4,4,6,5,1,5,1,4,0,0,0,0,3
"1198",786,2,4,4,4,6,5,1,5,1,4,1,1,0,0,3
"2600",786,2,4,4,4,6,5,1,5,1,4,1,1,1,1,2
"1400",787,2,5,5,4,3,3,3,3,3,5,1,0,0,1,3
"1597",787,2,5,5,4,3,3,3,3,3,5,1,1,0,1,3
"2000",787,2,5,5,4,3,3,3,3,3,5,0,1,1,0,3
"2201",787,2,5,5,4,3,3,3,3,3,5,0,0,1,1,3
"997",788,1,6,5,3,6,3,3,3,2,3,1,0,0,0,4
"1799",788,1,6,5,3,6,3,3,3,2,3,0,1,0,1,3
"3001",788,1,6,5,3,6,3,3,3,2,3,1,0,1,1,4
"3201",788,1,6,5,3,6,3,3,3,2,3,1,0,1,0,3
"598",789,1,5,5,2,5,3,3,4,2,4,0,1,0,0,4
"798",789,1,5,5,2,5,3,3,4,2,4,0,0,0,0,4
"2001",789,1,5,5,2,5,3,3,4,2,4,0,1,1,0,4
"2202",789,1,5,5,2,5,3,3,4,2,4,0,0,1,1,3
"998",790,2,5,2,5,5,2,3,5,1,2,1,0,0,0,3
"1199",790,2,5,2,5,5,2,3,5,1,2,1,1,0,0,3
